Product code,Station Number,Year,MONTHS,RAINFALL(MM)
IDCJAC0001,23034,1988,October,10.8
IDCJAC0001,23034,1989,October,29.4
IDCJAC0001,23034,1990,October,28.4
IDCJAC0001,23034,1991,October,6.8
IDCJAC0001,23034,1992,October,74.8
IDCJAC0001,23034,1993,October,77.2
IDCJAC0001,23034,1994,October,49.8
IDCJAC0001,23034,1995,October,19
IDCJAC0001,23034,1996,October,19
IDCJAC0001,23034,1997,October,69.4
IDCJAC0001,23034,1998,October,43.8
IDCJAC0001,23034,1999,October,57
IDCJAC0001,23034,2000,October,66.6
IDCJAC0001,23034,2001,October,64
IDCJAC0001,23034,2002,October,15.8
IDCJAC0001,23034,2003,October,44.6
IDCJAC0001,23034,2004,October,8.2
IDCJAC0001,23034,2005,October,85.2
IDCJAC0001,23034,2006,October,0.6
IDCJAC0001,23034,2007,October,23.2
IDCJAC0001,23034,2008,October,3
IDCJAC0001,23034,2009,October,20.4
IDCJAC0001,23034,2010,October,34.2
IDCJAC0001,23034,2011,October,30.2
IDCJAC0001,23034,2012,October,14.4
IDCJAC0001,23034,2013,October,15.4
IDCJAC0001,23034,2014,October,5.4
IDCJAC0001,23034,2015,October,5.6
IDCJAC0001,23034,2016,October,59.6
IDCJAC0001,23034,2017,October,26
IDCJAC0001,23034,2018,October,13
IDCJAC0001,23034,2019,October,15.4
IDCJAC0001,23034,2020,October,41.4
IDCJAC0001,23034,1981,November,30.4
IDCJAC0001,23034,1982,November,1
IDCJAC0001,23034,1983,November,8.2
IDCJAC0001,23034,1984,November,34.6
IDCJAC0001,23034,1985,November,9.6
IDCJAC0001,23034,1986,November,15
IDCJAC0001,23034,1987,November,2.8
IDCJAC0001,23034,1988,November,26.2
IDCJAC0001,23034,1989,November,21.2
IDCJAC0001,23034,1990,November,5.6
IDCJAC0001,23034,1991,November,24.6
IDCJAC0001,23034,1992,November,66
IDCJAC0001,23034,1993,November,23.6
IDCJAC0001,23034,1994,November,27
IDCJAC0001,23034,1995,November,6.8
IDCJAC0001,23034,1996,November,1.8
IDCJAC0001,23034,1997,November,44.4
IDCJAC0001,23034,1998,November,24.4
IDCJAC0001,23034,1999,November,35.2
IDCJAC0001,23034,2000,November,11.6
IDCJAC0001,23034,2001,November,40.4
IDCJAC0001,23034,2002,November,35.2
IDCJAC0001,23034,2003,November,7.2
IDCJAC0001,23034,2004,November,35.6
IDCJAC0001,23034,2005,November,51.2
IDCJAC0001,23034,2006,November,20.2
IDCJAC0001,23034,2007,November,32.6
IDCJAC0001,23034,2008,November,13.2
IDCJAC0001,23034,2009,November,32.2
IDCJAC0001,23034,2010,November,18.8
IDCJAC0001,23034,2011,November,17.6
IDCJAC0001,23034,2012,November,13
IDCJAC0001,23034,2013,November,4.8
IDCJAC0001,23034,2014,November,27.4
IDCJAC0001,23034,2015,November,14.6
IDCJAC0001,23034,2016,November,30.2
IDCJAC0001,23034,2017,November,9.4
IDCJAC0001,23034,2018,November,34.8
IDCJAC0001,23034,2019,November,18.2
IDCJAC0001,23034,2020,November,10.8
IDCJAC0001,23034,1981,December,14.6
IDCJAC0001,23034,1982,December,8
IDCJAC0001,23034,1983,December,12.6
IDCJAC0001,23034,1984,December,5.4
IDCJAC0001,23034,1985,December,30.4
IDCJAC0001,23034,1986,December,28
IDCJAC0001,23034,1987,December,35
IDCJAC0001,23034,1988,December,47.6
IDCJAC0001,23034,1989,December,9.2
IDCJAC0001,23034,1990,December,40.4
IDCJAC0001,23034,1991,December,5.6
IDCJAC0001,23034,1992,December,90.4
IDCJAC0001,23034,1993,December,89.8
IDCJAC0001,23034,1994,December,9.8
IDCJAC0001,23034,1995,December,7.8
IDCJAC0001,23034,1996,December,14.2
IDCJAC0001,23034,1997,December,18.2
IDCJAC0001,23034,1998,December,11.6
IDCJAC0001,23034,1999,December,32.8
IDCJAC0001,23034,2000,December,11.8
IDCJAC0001,23034,2001,December,12
IDCJAC0001,23034,2002,December,6
IDCJAC0001,23034,2003,December,15.6
IDCJAC0001,23034,2004,December,38.6
IDCJAC0001,23034,2005,December,30.4
IDCJAC0001,23034,2006,December,19.4
IDCJAC0001,23034,2007,December,36
IDCJAC0001,23034,2008,December,31.4
IDCJAC0001,23034,2009,December,14.8
IDCJAC0001,23034,2010,December,38.2
IDCJAC0001,23034,2011,December,25.4
IDCJAC0001,23034,2012,December,7.2
IDCJAC0001,23034,2013,December,9.8
IDCJAC0001,23034,2014,December,4.8
IDCJAC0001,23034,2015,December,7.8
IDCJAC0001,23034,2016,December,75.8
IDCJAC0001,23034,2017,December,31.6
IDCJAC0001,23034,2018,December,21
IDCJAC0001,23034,2019,December,3.4
IDCJAC0001,23034,2020,December,17
