Product code,Station Number,Year,MONTHS,RAINFALL(mm)
IDCJAC0001,23090,2001,June,105
IDCJAC0001,23090,2002,June,60
IDCJAC0001,23090,2003,June,124.2
IDCJAC0001,23090,2004,June,125
IDCJAC0001,23090,2005,June,142
IDCJAC0001,23090,2006,June,12.4
IDCJAC0001,23090,2007,June,64.8
IDCJAC0001,23090,2008,June,30.4
IDCJAC0001,23090,2009,June,52
IDCJAC0001,23090,2010,June,65.8
IDCJAC0001,23090,2011,June,37.2
IDCJAC0001,23090,2012,June,126.4
IDCJAC0001,23090,2013,June,76.4
IDCJAC0001,23090,2014,June,104.2
IDCJAC0001,23090,2015,June,null
IDCJAC0001,23090,2016,June,95.2
IDCJAC0001,23090,2017,June,8.6
IDCJAC0001,23090,2018,June,54.8
IDCJAC0001,23090,2019,June,82.6
IDCJAC0001,23090,2020,June,71
IDCJAC0001,23090,1981,July,110.2
IDCJAC0001,23090,1982,July,31.6
IDCJAC0001,23090,1983,July,111.2
IDCJAC0001,23090,1984,July,81.6
IDCJAC0001,23090,1985,July,43.6
IDCJAC0001,23090,1986,July,159.8
IDCJAC0001,23090,1987,July,116.2
IDCJAC0001,23090,1988,July,62
IDCJAC0001,23090,1989,July,68.8
IDCJAC0001,23090,1990,July,104.6
IDCJAC0001,23090,1991,July,95.8
IDCJAC0001,23090,1992,July,65.6
IDCJAC0001,23090,1993,July,65.6
IDCJAC0001,23090,1994,July,40.4
IDCJAC0001,23090,1995,July,129.6
IDCJAC0001,23090,1996,July,115
IDCJAC0001,23090,1997,July,22.2
IDCJAC0001,23090,1998,July,65.4
IDCJAC0001,23090,1999,July,68.8
IDCJAC0001,23090,2000,July,68.8
IDCJAC0001,23090,2001,July,61.4
IDCJAC0001,23090,2002,July,83.6
IDCJAC0001,23090,2003,July,39.2
IDCJAC0001,23090,2004,July,75
IDCJAC0001,23090,2005,July,42.8
IDCJAC0001,23090,2006,July,36
IDCJAC0001,23090,2007,July,65.8
IDCJAC0001,23090,2008,July,72.2
IDCJAC0001,23090,2009,July,109
IDCJAC0001,23090,2010,July,59.8
IDCJAC0001,23090,2011,July,61.4
IDCJAC0001,23090,2012,July,66.2
IDCJAC0001,23090,2013,July,119.2
IDCJAC0001,23090,2014,July,99.6
IDCJAC0001,23090,2015,July,73.6
IDCJAC0001,23090,2016,July,112
IDCJAC0001,23090,2017,July,91.2
IDCJAC0001,23090,2018,July,67.8
IDCJAC0001,23090,2019,July,39.2
IDCJAC0001,23090,2020,July,21.4
IDCJAC0001,23090,1981,August,112.2
IDCJAC0001,23090,1982,August,26
IDCJAC0001,23090,1983,August,91.4
IDCJAC0001,23090,1984,August,109.2
IDCJAC0001,23090,1985,August,78.2
IDCJAC0001,23090,1986,August,107
IDCJAC0001,23090,1987,August,30.2
IDCJAC0001,23090,1988,August,35.2
IDCJAC0001,23090,1989,August,68.6
IDCJAC0001,23090,1990,August,92
IDCJAC0001,23090,1991,August,81.6
IDCJAC0001,23090,1992,August,129
IDCJAC0001,23090,1993,August,50.6
IDCJAC0001,23090,1994,August,21
IDCJAC0001,23090,1995,August,30.2
IDCJAC0001,23090,1996,August,105
IDCJAC0001,23090,1997,August,90.4
IDCJAC0001,23090,1998,August,55.4
IDCJAC0001,23090,1999,August,38.2
IDCJAC0001,23090,2000,August,60.2
IDCJAC0001,23090,2001,August,87.8
IDCJAC0001,23090,2002,August,26.6
IDCJAC0001,23090,2003,August,93.8
IDCJAC0001,23090,2004,August,94
IDCJAC0001,23090,2005,August,90.8
IDCJAC0001,23090,2006,August,11.4
IDCJAC0001,23090,2007,August,25.8
IDCJAC0001,23090,2008,August,84.8
IDCJAC0001,23090,2009,August,55.8
IDCJAC0001,23090,2010,August,115.2
IDCJAC0001,23090,2011,August,92.4
IDCJAC0001,23090,2012,August,68
IDCJAC0001,23090,2013,August,84.4
IDCJAC0001,23090,2014,August,20.8
IDCJAC0001,23090,2015,August,48.4
IDCJAC0001,23090,2016,August,58.8
IDCJAC0001,23090,2017,August,87.8
IDCJAC0001,23090,2018,August,82.6
IDCJAC0001,23090,2019,August,50.6
IDCJAC0001,23090,2020,August,35.8
IDCJAC0001,23090,1981,September,45.2
IDCJAC0001,23090,1982,September,28
IDCJAC0001,23090,1983,September,69.4
IDCJAC0001,23090,1984,September,63.4
IDCJAC0001,23090,1985,September,67.6
IDCJAC0001,23090,1986,September,69.8
IDCJAC0001,23090,1987,September,16
IDCJAC0001,23090,1988,September,53
IDCJAC0001,23090,1989,September,50.4
IDCJAC0001,23090,1990,September,43.8
IDCJAC0001,23090,1991,September,77.6
IDCJAC0001,23090,1992,September,151.4
IDCJAC0001,23090,1993,September,66
IDCJAC0001,23090,1994,September,31
IDCJAC0001,23090,1995,September,47.2
IDCJAC0001,23090,1996,September,83.8
IDCJAC0001,23090,1997,September,74.2
IDCJAC0001,23090,1998,September,54.8
IDCJAC0001,23090,1999,September,74.2
