Product code,Station Number,Year,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,,SEASON,RAINFALL(mm),,SUMMER,AUTUMN,WINTER,SPRING
,,,,,,,,,,,,,,,,SPRING,92.8,,,,,
,,,,,,,,,,,,,,,,SPRING,123.8,,,,,
,,,,,,,,,,,,,,,,SPRING,133.4,,,,,
,,,,,,,,,,,,,,,,SPRING,227.2,,,,,
,,,,,,,,,,,,,,,,SPRING,51.6,,,,,
,,,,,,,,,,,,,,,,SPRING,78.8,,,,,
,,,,,,,,,,,,,,,,SPRING,37.8,,,,,
,,,,,,,,,,,,,,,,SPRING,122.2,,,,,
,,,,,,,,,,,,,,,,SPRING,124.6,,,,,
,,,,,,,,,,,,,,,,SPRING,114.6,,,,,
,,,,,,,,,,,,,,,,SPRING,59.4,,,,,
,,,,,,,,,,,,,,,,SPRING,80.2,,,,,
,,,,,,,,,,,,,,,,SPRING,60.8,,,,,
,,,,,,,,,,,,,,,,SPRING,71,,,,,
,,,,,,,,,,,,,,,,SPRING,245.4,,,,,
,,,,,,,,,,,,,,,,SPRING,116,,,,,
,,,,,,,,,,,,,,,,SPRING,93.6,,,,,
,,,,,,,,,,,,,,,,SPRING,82.2,,,,,
,,,,,,,,,,,,,,,,SPRING,121.4,,,,,
